,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
122,Northam,51.0333,-4.2167,59.14,95,100,5.53,GB,overcast clouds
123,Senno,59.5336,33.9167,57.11,64,10,4.23,RU,clear sky
124,Saint-Pierre,-21.3393,55.4781,73.56,89,75,3.44,RE,light rain
125,Bathsheba,13.2167,-59.5167,79.95,78,95,18.61,BB,overcast clouds
126,Nikolsk,53.7189,46.0712,53.51,96,88,6.69,RU,overcast clouds
127,Los Llanos De Aridane,28.6585,-17.9182,64.15,79,90,15.41,ES,overcast clouds
128,Grand Gaube,-20.0064,57.6608,70.38,85,15,1.01,MU,few clouds
129,Biltine,14.5333,20.9167,92.97,13,74,9.33,TD,broken clouds
130,Iqaluit,63.7506,-68.5145,34.7,80,85,5.99,CA,overcast clouds
131,Puerto Ayora,-0.7393,-90.3518,74.55,87,99,7.0,EC,overcast clouds
132,Kahului,20.8947,-156.47,84.97,74,6,11.01,US,clear sky
133,Raudeberg,61.9875,5.1352,57.87,94,100,1.32,NO,overcast clouds
134,Butaritari,3.0707,172.7902,82.38,70,38,5.84,KI,scattered clouds
135,Fortuna Foothills,32.6578,-114.4119,108.55,8,4,1.99,US,clear sky
136,Ankeny,41.7297,-93.6058,93.74,40,1,12.66,US,clear sky
137,Rawson,-43.3002,-65.1023,49.91,48,0,16.89,AR,clear sky
138,Kambove,-10.8764,26.5969,63.0,54,95,5.21,CD,overcast clouds
139,Hualmay,-11.0964,-77.6139,68.2,72,11,10.8,PE,few clouds
140,Kapuskasing,49.4169,-82.4331,66.97,51,61,4.32,CA,broken clouds
141,Pisco,-13.7,-76.2167,66.02,80,18,5.64,PE,few clouds
142,Haines Junction,60.7522,-137.5108,54.5,59,93,4.21,CA,light rain
143,Tautira,-17.7333,-149.15,84.22,77,79,13.15,PF,broken clouds
144,Sola,-13.8833,167.55,79.5,72,82,9.86,VU,broken clouds
145,Bethel,41.3712,-73.414,93.02,49,98,1.01,US,overcast clouds
146,Cape Town,-33.9258,18.4232,59.11,41,3,5.99,ZA,clear sky
147,Paita,-5.0892,-81.1144,71.6,74,97,18.25,PE,overcast clouds
148,Washougal,45.5826,-122.3534,68.31,73,75,5.01,US,broken clouds
149,Newport,51.5877,-2.9984,62.92,84,100,5.23,GB,light rain
150,Caravelas,-17.7125,-39.2481,73.15,89,2,6.17,BR,clear sky
151,Nikolskoye,59.7035,30.7861,60.69,66,50,3.56,RU,scattered clouds
152,Pemangkat,1.1667,108.9667,80.19,81,73,6.71,ID,broken clouds
153,Hamamatsu,34.7,137.7333,66.02,87,100,1.99,JP,moderate rain
154,Khushab,32.2967,72.3525,90.14,33,3,1.5,PK,clear sky
155,Zhigansk,66.7697,123.3711,45.75,63,99,3.96,RU,overcast clouds
